Country,Year,Status,Continent,Life expectancy ,Adult Mortality,infant deaths,Alcohol,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Diphtheria , HIV/AIDS,GDP,Population
Afghanistan,2015,Underdeveloped,Asia,65,263,62,0.01,65,1154,19.1,83,6,65,0.1,584.25921,33736494
Afghanistan,2014,Underdeveloped,Asia,59.9,271,64,0.01,62,492,18.6,86,58,62,0.1,612.696514,327582
Afghanistan,2013,Underdeveloped,Asia,59.9,268,66,0.01,64,430,18.1,89,62,64,0.1,631.744976,31731688
Afghanistan,2012,Underdeveloped,Asia,59.5,272,69,0.01,67,2787,17.6,93,67,67,0.1,669.959,3696958
Afghanistan,2011,Underdeveloped,Asia,59.2,275,71,0.01,68,3013,17.2,97,68,68,0.1,63.537231,2978599
Afghanistan,2010,Underdeveloped,Asia,58.8,279,74,0.01,66,1989,16.7,102,66,66,0.1,553.32894,2883167
Afghanistan,2009,Underdeveloped,Asia,58.6,281,77,0.01,63,2861,16.2,106,63,63,0.1,445.8932979,284331
Afghanistan,2008,Underdeveloped,Asia,58.1,287,80,0.03,64,1599,15.7,110,64,64,0.1,373.3611163,2729431
Afghanistan,2007,Underdeveloped,Asia,57.5,295,82,0.02,63,1141,15.2,113,63,63,0.1,369.835796,26616792
Afghanistan,2006,Underdeveloped,Asia,57.3,295,84,0.03,64,1990,14.7,116,58,58,0.1,272.56377,2589345
Afghanistan,2005,Underdeveloped,Asia,57.3,291,85,0.02,66,1296,14.2,118,58,58,0.1,25.2941299,257798
Afghanistan,2004,Underdeveloped,Asia,57,293,87,0.02,67,466,13.8,120,5,5,0.1,219.1413528,24118979
Afghanistan,2003,Underdeveloped,Asia,56.7,295,87,0.01,65,798,13.4,122,41,41,0.1,198.7285436,2364851
Afghanistan,2002,Underdeveloped,Asia,56.2,3,88,0.01,64,2486,13,122,36,36,0.1,187.84595,21979923
Afghanistan,2001,Underdeveloped,Asia,55.3,316,88,0.01,63,8762,12.6,122,35,33,0.1,117.49698,2966463
Afghanistan,2000,Underdeveloped,Asia,54.8,321,88,0.01,62,6532,12.2,122,24,24,0.1,114.56,293756
Albania,2015,Developing,Europe,77.8,74,0,4.6,99,0,58,0,99,99,0.1,3954.22783,28873
Albania,2014,Developing,Europe,77.5,8,0,4.51,98,0,57.2,1,98,98,0.1,4575.763787,288914
Albania,2013,Developing,Europe,77.2,84,0,4.76,99,0,56.5,1,99,99,0.1,4414.72314,289592
